Team,Sos_2020,Sos_2019
BAL,0.438,0.488
DAL,0.457,0.500
PIT,0.457,0.492
WAS,0.461,0.465
CLE,0.461,0.480
CIN,0.477,0.465
NYG,0.480,0.469
PHI,0.484,0.473
NO,0.488,0.488
JAX,0.492,0.531
LAC,0.492,0.496
CAR,0.496,0.500
TEN,0.496,0.512
LV,0.496,0.535
IND,0.500,0.516
GB,0.500,0.500
KC,0.500,0.516
TB,0.500,0.508
SEA,0.504,0.473
CHI,0.504,0.512
DEN,0.512,0.531
LA,0.512,0.469
MIN,0.512,0.508
ARI,0.516,0.504
HOU,0.516,0.527
ATL,0.523,0.516
BUF,0.523,0.477
DET,0.523,0.488
SF,0.523,0.504
MIA,0.527,0.496
NYJ,0.531,0.469
NE,0.535,0.469