Team,Ol_2020
ARI,71.57142857142857
ATL,72.71428571428571
BAL,75.71428571428571
BUF,74.71428571428571
CAR,72.42857142857143
CHI,72
CIN,66.57142857142857
CLE,74.28571428571429
DAL,79.71428571428571
DEN,72.28571428571429
DET,69.57142857142857
GB,74.71428571428571
HOU,71
IND,76.57142857142857
JAX,72.57142857142857
KC,73.71428571428571
LA,71.71428571428571
LAC,72.85714285714286
LV,79
MIA,66.71428571428571
MIN,70.57142857142857
NE,76.28571428571429
NO,77.71428571428571
NYG,71.14285714285714
NYJ,71
PHI,80
PIT,75.28571428571429
SEA,69
SF,75.85714285714286
TB,72.14285714285714
TEN,73
WAS,70.57142857142857